"TIC ID","TOI","CTOI","Master priority","SG1A priority","SG1B priority","SG2 priority","SG3 priority","SG4 priority","SG5 priority","ESM","TSM","Predicted Mass (M_Earth)","Time Series Observations","Spectroscopy Observations","Imaging Observations","TESS Disposition","TFOPWG Disposition","TESS mag","TESS mag error","Pipeline Signal ID","Source","Detection","RA (deg)","Dec (deg)","PM RA (mas/yr)","PM RA error","PM Dec (mas/yr)","PM Dec error","Transit Epoch (BJD)","Transit Epoch error","Period (days)","Period error","Duration (hours)","Duration error","Depth (mmag)","Depth (mmag) error","Depth (ppm)","Depth (ppm) error","Planet Radius (R_Earth)","Planet Radius error","Planet Insolation (Earth flux)","Planet Eq Temp (K)","Planet SNR","Stellar Distance (pc)","Stellar Distance error","Stellar Teff (K)","Stellar Teff error","Stellar log(g) (cm/s2)","Stellar log(g) error","Stellar Radius (R_Sun)","Stellar Radius error","Stellar Metallicity","Stellar Metallicity error","Stellar Mass (M_Sun)","Stellar Mass error","Sectors","Comments","Date TOI Alerted (by TESS Project)","Date TOI Updated (by TESS Project)","Date Modified (by ExoFOP-TESS)"
"287196418","1190.01","","5","5","5","5","1","5","5","84.1","104.7","317","0","0","0","PC","APC","9.80529","0.006","1","qlp-s74-ffi","SPOC/QLP","292.734132","59.403853","0.983","0.045","0.492","0.044","2460346.965304","0.0010296","3.6950125","0.000005","4.316","0.058","8.476775","0.105852","7777","97.4881","14.7543","0.612771","2029.32","1869","233","280.948","1.884","7106.7","186.5","4.2","0.08","1.63","0.07","","","1.532","0.249804","14,16,17,20,21,23,24,26,40,41,47,49,50,51,53,54,55,56,57,58,59,60,73,74","variable host star; TFOP APC/BEB","2019-08-27","2024-04-01","2024-04-05"
"288185138","1200.01","","5","5","5","5","5","5","5","45","155.2","34.67","4","3","0","EB","FP","10.402","0.006","1","qlp-s75-ffi","QLP","222.841424","82.952258","-32.468","0.111","28.147","0.083","2460365.995576","0.0006568","0.8352406","0.0000016","1.043","0.149","2.244363","0.322882","2065","297.341","6.4875","0.517136","5021.63","2345","96","224.444","1.993","6105","142.2","4.31","0.08","1.24","0.06","","","1.149","0.153486","14,19,21,26,40,41,47,48,52,53,59,60,73,74,75","TFOP FP/retired as EB; v-shaped; odd-even transit difference","2019-08-27","2024-04-17","2024-04-30"
"237222864","1255.01","","1","5","5","1","4","4","4","4.9","69.5","7.86","1","27","6","CP","CP","9.1416","0.006","1","qlp-s74-ffi","SPOC/QLP","296.24462","74.062858","18.618","0.036","28.014","0.046","2460337.877095","0.0009593","10.2888871","0.0000102","1.425","0.345","0.938482","0.036616","864","33.7236","2.73221","0.174198","25.0029","622","44","65.9501","0.1013","5126","124.385","4.49772","0.0845762","0.87","0.05","","","0.86","0.104376","14,15,16,17,19,20,21,22,23,24,25,26,40,41,47,49,50,51,52,53,54,55,56,57,58,59,60,73,74","HIP 97166 b / TOI 1255 b","2019-10-17","2024-04-01","2024-04-05"
"199688472","1292.01","","5","5","5","5","5","5","5","267.6","256.1","317","1","2","0","EB","FP","9.84566","0.006","1","qlp-s74-ffi","QLP","253.14033","57.97415","3.224","0.246","33.814","0.301","2460351.142333","0.0018086","1.4412175","0.0000046","1.666","0.134","14.126819","0.460315","12927","423.876","17.0442","0.982769","1160.55","1626","586","190.403","4.476","5672.9","168.9","4.13","0.08","1.46","0.08","","","1.038","0.130808","14,15,16,17,18,19,20,21,22,23,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59,60,73,74","odd-even indicates likely FP; TFOP FP","2019-10-17","2024-03-03","2024-03-16"
"232679662","1305.01","","5","5","5","5","5","5","5","272.7","1030.1","317","0","0","2","EB","FP","10.3018","0.007","1","qlp-s79-ffi","QLP","282.474539","55.26639","0.76","0.181","-8.188","0.171","2460477.917179","0.0006387","7.8513729","0.0000072","6.726","0.124","23.325","0.521235","21254","479.96","","","","","138","875.061","74.2245","","","","","","","","","","","14,15,16,19,22,23,25,26,40,41,49,52,53,54,55,56,57,58,59,60,73,74,75,76,79","TFOP FP; Might be on other star; possible secondary and odd-even","2019-10-17","2024-08-15","2024-08-16"
"269701147","1339.01","","1","5","5","1","4","4","4","10.8","127.4","10.41","8","34","6","CP","CP","8.2929","0.006","1","qlp-s76-ffi","SPOC/QLP","302.025625","66.850301","150.256","0.044","-63.909","0.047","2460384.855668","0.0005835","8.8803096","0.0000044","2.754","0.028","1.313449","0.01562","1209","14.3863","3.20473","0.162879","57.5149","767","81","53.6089","0.0732","5555.7","313.7","4.49","0.08","0.92","0.05","","","0.95","0.119246","15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,59,60,73,75,76","HD 191939 b / TOI 1339.01","2019-10-30","2024-05-16","2024-06-01"
"269701147","1339.02","","1","5","5","1","4","4","4","2.4","63.4","7.1","8","34","6","CP","CP","8.2929","0.006","2","qlp-s60-ffi","SPOC","302.025625","66.850301","150.256","0.044","-63.909","0.047","2460326.542627","0.0016737","28.580356","0.0000452","4.038","0.28","0.977603","0.024053","900","22.1538","2.55979","0.13622","12.8234","527","37","53.6089","0.0732","5555.7","313.7","4.49","0.08","0.92","0.05","","","0.95","0.119246","15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,59,60,73,75","HD 191939 c / TOI 1339.02","2019-10-30","2024-05-16","2024-05-17"
"269701147","1339.03","","1","4","1","2","4","4","4","1.9","59.2","7.37","8","34","6","CP","CP","8.2929","0.006","3","qlp-s60-ffi","SPOC","302.025625","66.850301","150.256","0.044","-63.909","0.047","2459894.122181","0.0015641","38.3522568","0.0000993","5.317","1.191","0.926528","0.043604","853","40.1597","2.6167","0.153369","25.3934","625","38","53.6089","0.0732","5555.7","313.7","4.49","0.08","0.92","0.05","","","0.95","0.119246","15,16,17,18,19,21,22,24,25,41,48,49,51,52,55,56,59,60,73","HD 191939 d","2019-11-15","2024-05-16","2024-05-17"
"1400770435","1344.01","","5","5","5","5","5","5","5","91.5","154.3","317","0","0","0","EB","FP","8.88797","0.006","1","qlp-s82-ffi","QLP","264.961539","56.078974","-4.979","0.038","13.371","0.041","2460555.403558","0.000708","13.7431164","0.0000081","2.439","0.26","5.17608","1.051063","4756","967.596","16.0334","0.71818","111.168","904","241","121.182","0.27","5941.5","161.9","4.23","0.08","1.4","0.01","","","","","14,15,16,17,18,19,20,21,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,57,58,59,60,73,74,75,76,77,78,80,81,82","TICv8 JOIN; refer to TOI 1140.01 (TIC 320525204); v-shaped","2019-10-30","2024-09-30","2024-10-01"
"1718201850","1351.01","","5","5","5","5","1","5","5","58.1","215.1","93.77","0","0","0","PC","APC","10.3267","0.02","1","qlp-s80-ffi","QLP","286.746549","71.712195","-42.869","1.094","2.803","1.441","2460500.408771","0.0014278","5.9294711","0.0000129","3.647","0.342","15.948773","0.626541","14582","576.899","","","","","383","125.308","16.6305","","","","","","","","","","","14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,59,60,73,74,75,76,77,79,80","variable star; unknown stellar radius; likely too large to be PC given Rp/R* ~ 10%; ~400 ppm secondary; TFOP APC/SB1","2019-10-30","2024-08-29","2024-08-31"
