#time	flux	flux_err
2912.0184090885987	1.0049204	0.008143723
2912.0197980122416	1.0118462	0.008145005
2912.021186935419	0.9957779	0.0081293015
2912.022575858597	0.9943607	0.008138415
2912.023964782241	0.9975412	0.008133429
2912.0253537054186	1.0037333	0.008146902
2912.0267426285964	1.0016881	0.008139061
2912.0281315517745	0.99227965	0.008129013
2912.0295204754175	1.0104728	0.008151743
2912.0309093985943	0.9981997	0.008130151
2912.032298321772	0.997851	0.008131782
2912.0336872449498	1.0074701	0.00814443
2912.035076168593	1.0028442	0.008126778
2912.0364650917704	1.0050699	0.0081384955
2912.0378540149486	1.0002743	0.008129904
2912.0392429381263	0.9982914	0.008129071
2912.0406318617697	1.0022873	0.008126823
2912.042020784948	1.0010923	0.008130849
2912.043409708126	0.9892775	0.008122176
2912.0447986313034	1.001228	0.0081276875
